iter	Logloss
0	0.6612733494
1	0.6278093325
2	0.6005653719
3	0.5787320892
4	0.5537291577
5	0.5340837494
6	0.5162157756
7	0.501398262
8	0.4861564371
9	0.4725898349
10	0.4614918626
11	0.4483307786
12	0.4381528407
13	0.4280934135
14	0.4206072773
15	0.4118755926
16	0.4029390807
17	0.3951713542
18	0.3908392
19	0.3841486224
20	0.3788260564
21	0.3745606746
22	0.3697800697
23	0.3664497804
24	0.3622242887
25	0.3576486416
26	0.352340826
27	0.3470591283
28	0.3425593937
29	0.3393119931
30	0.3356452165
31	0.3332515495
32	0.3295014426
33	0.3263741486
34	0.323971307
35	0.3219765147
36	0.319489415
37	0.317163858
38	0.3149903717
39	0.3127548164
40	0.3103497663
41	0.3076485756
42	0.3043509024
43	0.3029172287
44	0.2995211401
45	0.2969308025
46	0.2939538952
47	0.2929024458
48	0.2897140758
49	0.287210006
50	0.2854413403
51	0.2829794671
52	0.2808478297
53	0.2788744355
54	0.2780140385
55	0.2745015819
56	0.2733136544
57	0.2717147951
58	0.2695396959
59	0.2670559283
60	0.2660534012
61	0.2625147197
62	0.2605769655
63	0.2582042813
64	0.2563704675
65	0.2554212876
66	0.2529517323
67	0.2503626683
68	0.2476645414
69	0.2446140883
70	0.2433476944
71	0.2410938956
72	0.2404693307
73	0.238148168
74	0.2372759862
75	0.2362161315
76	0.2356793604
77	0.2345407271
78	0.2332280882
79	0.2310822572
80	0.229914712
81	0.2291649937
82	0.2280774826
83	0.2269581641
84	0.2255590682
85	0.2231446841
86	0.2224890458
87	0.2212462391
88	0.2192940157
89	0.217501607
90	0.2157640386
91	0.2137295514
92	0.2129134632
93	0.2119474197
94	0.2102060451
95	0.2090503806
96	0.208256331
97	0.2059257035
98	0.2038524569
99	0.2023226602
100	0.2011733463
101	0.2002417987
102	0.1989843637
103	0.1987353474
104	0.195942434
105	0.1956561376
106	0.195474305
107	0.1944179857
108	0.1931038569
109	0.1927736209
110	0.1917443419
111	0.1886358403
112	0.1880659568
113	0.1878516279
114	0.1864421259
115	0.1852001982
116	0.1849837999
117	0.1833813307
118	0.1821758129
119	0.1816950828
120	0.1790859779
121	0.1788905657
122	0.1781807776
123	0.1767292066
124	0.1764574005
125	0.1751050809
126	0.1749095138
127	0.1747261145
128	0.1737190213
129	0.1722859881
130	0.170235749
131	0.1696919137
132	0.1689565597
133	0.1669708875
134	0.1653744647
135	0.1646702728
136	0.1621796685
137	0.1615935071
138	0.1614307338
139	0.1612055901
140	0.1610250539
141	0.1591157582
142	0.1577317491
143	0.1567638953
144	0.1566039718
145	0.155996551
146	0.1557013963
147	0.15399804
148	0.1532505686
149	0.1527958808
150	0.1511511197
151	0.1504189208
152	0.1493712119
153	0.1484746771
154	0.1478176986
155	0.1457916136
156	0.1444936154
157	0.144128307
158	0.1425889907
159	0.1417605513
160	0.1414591472
161	0.1409566249
162	0.1404724624
163	0.1387377756
164	0.1371746761
165	0.1363574607
166	0.1349808578
167	0.1343710588
168	0.1318434701
169	0.1314863411
170	0.1306796722
171	0.1302268818
172	0.1300219975
173	0.129676246
174	0.1278959827
175	0.127046803
176	0.1267809329
177	0.1260255702
178	0.1256907125
179	0.1255617789
180	0.1246367992
181	0.1243934193
182	0.1240911211
183	0.1233435237
184	0.122872367
185	0.1217405567
186	0.1214807415
187	0.1208306804
188	0.1197327421
189	0.1181402727
190	0.1159375086
191	0.1148343445
192	0.1146940887
193	0.1139575493
194	0.1125835309
195	0.1108211362
