iter	Logloss
196	0.1103907443
197	0.1101623596
198	0.1092628773
199	0.1090056417
200	0.1088901198
201	0.1081615288
202	0.1064684634
203	0.1057702576
204	0.105227141
205	0.1045840627
206	0.1039625896
207	0.1029562683
208	0.1021316245
209	0.1014231398
210	0.1008291552
211	0.1003143561
212	0.09885435158
213	0.09812160074
214	0.09749796452
215	0.0971354801
216	0.09641717802
217	0.09575600187
218	0.09515746105
219	0.09496832054
220	0.09485852811
221	0.0943153339
222	0.09358176896
223	0.09303120098
224	0.0925938158
225	0.09235195032
226	0.09224597327
227	0.09152263864
228	0.09078522642
229	0.09045611621
230	0.09035304825
231	0.08950187386
232	0.08940413173
233	0.08861231754
234	0.08771923205
235	0.08705267308
236	0.08675280707
237	0.0865409304
238	0.08645090496
239	0.08626846686
240	0.08590410285
241	0.08512474921
242	0.08460128002
243	0.08451333592
244	0.08438667381
245	0.08392137599
246	0.08363717784
247	0.08315225851
248	0.08292553419
249	0.08274002918
250	0.08197760319
251	0.08185660379
252	0.08158824635
253	0.08148677391
254	0.08089713426
255	0.08071328105
256	0.08051260325
257	0.07991916558
258	0.07960121007
259	0.07946298453
260	0.07874776934
261	0.07858318564
262	0.07826012203
263	0.07724756946
264	0.07661331763
265	0.0755210871
266	0.07496791795
267	0.07486026462
268	0.07479437235
269	0.07445216133
270	0.07425744891
271	0.07384509812
272	0.0733785411
273	0.07267247006
274	0.07260358289
275	0.07199607162
276	0.07192929449
277	0.07138782687
278	0.07111468039
279	0.07089681422
280	0.07034772457
281	0.07028247506
282	0.0701884658
283	0.07000747585
284	0.06953038024
285	0.06908661413
286	0.06863885128
287	0.06854442453
288	0.06843608476
289	0.06773784067
290	0.06765474802
291	0.06736317251
292	0.06717253668
293	0.06668642136
294	0.06659951376
295	0.06629893414
296	0.06569758327
297	0.06517060948
298	0.0647254899
299	0.06464126904
300	0.06439501442
301	0.06431344688
302	0.0639034215
303	0.06346421871
304	0.06341272055
305	0.06333558838
306	0.06270895022
307	0.06220555611
308	0.06207278724
309	0.06137067069
310	0.06119393366
311	0.06073098435
312	0.06037982511
313	0.06025635307
314	0.05946890637
315	0.05935327522
316	0.05902922804
317	0.05885138806
318	0.05876959921
319	0.05845412222
320	0.05837677071
321	0.05833281587
322	0.05809664644
323	0.05763807225
324	0.057447819
325	0.05705173226
326	0.05690960137
327	0.05676511252
328	0.05672192663
329	0.05635547134
330	0.056253525
331	0.05611300926
332	0.05577921639
333	0.05572512478
334	0.05528804968
335	0.05522852505
336	0.05482277912
337	0.05457235589
338	0.05419741746
339	0.05413787877
340	0.05388120885
341	0.05373679863
342	0.05351426929
343	0.0527285931
344	0.05253604868
345	0.052477334
346	0.05236538712
347	0.05171521703
348	0.05168811281
349	0.05162639041
